SDP,LogDet
26519.4606721401,28183.2346145099
27868.9039332659,26670.8620199875
27606.3633436185,27870.4247933235
27570.543636207,28249.626542203
28076.7970073181,26940.8513597485
26568.6280492286,28335.7876868402
25769.0650201584,29135.1775670974
26935.1942717044,27751.4817460231
27868.9263244568,27869.3559437356
27421.4537033147,28569.3222449883
26248.2674717538,26887.7050840743
21691.7699628671,29790.7349619047
27635.5339631907,26703.2666275164
27646.7959706731,28311.626077022
26984.9309614911,27542.610293483
28107.7895641643,25572.0556380716
26296.4031843342,27542.610293483
26054.3566505929,26291.7159538267
27221.924241853,26344.8603906775
27474.9975146058,25823.5323518097
26520.3258999491,27466.605532612
28557.0650553858,27547.2669173461
28754.7188354311,27812.2677348969
28292.2271855837,27797.1769080577
29683.3203023167,27573.9691167857
29107.5989729136,28009.6327149931
26968.0956863198,27036.5438196307
27592.6528094873,29533.3389341304
29675.8609841472,26809.3300641993
27510.0722579027,27184.6983840953
26760.4311449481,28113.8983738696
28081.0092857657,26638.2131791336
26853.1859866277,29664.3835061498
26541.1408268427,27616.154264454
27002.3377588915,26625.1825491208
26761.4366993478,26130.7493716259
29068.9190887108,28673.7147247029
27184.6983840953,26633.1519006606
28251.2207388328,29570.0030797728
29291.3827695217,28292.2271855837
29688.9403046676,26478.9093680124
26556.0755862066,28038.3023265525
26568.1413393251,26488.2193222491
26020.0927940772,27142.298181872
25310.7544513667,25608.5592361348
26196.3989072713,27806.5311474584
27487.9958738374,26931.8083205526
26144.2520898835,27395.427116954
27142.4865122852,28232.2125603402
27841.5338677013,27805.7271952623
27694.7905376219,27460.9293665842
29347.4645368757,27441.1964144221
27934.4895116309,26825.0676560026
28477.1717746944,27928.9125126207
26313.2869501813,26758.4339525916
25316.9882976978,26106.4171275745
28481.096932535,29446.559523552
26474.0142211736,27876.2558421024
29046.437116645,25846.1201020526
28258.4282923272,29568.6483595225
27192.4363970711,28569.3222449883
28784.6431655251,27591.8417767712
26548.7965850129,26311.1729927535
28723.2374507705,27370.3232791066
29499.0191308929,28571.3746026872
26953.7933840766,26085.8207425056
25938.536357403,27615.1196728713
28738.5460336549,26996.0819975997
26676.9908374882,26576.0568558421
28722.5536918347,27823.2113352164
27365.0881958049,28954.3417628108
28921.3196831348,29464.0160684258
28095.616586305,26200.7875814734
29551.7678913703,27451.1176931598
26717.2567947558,28969.5188646327
27416.698189944,26575.9981383971
27025.353046656,27179.5922453065
27837.0352656668,27209.9356825919
29372.3645491809,27374.985115502
25936.2940144052,25090.801047412
26869.0834571773,29768.7946345019
26031.1662154601,28227.0382839651
27138.860291869,25884.0198101212
27578.21327164,28149.7736072279
28971.9857006135,27028.1484134769
28132.3176434404,27952.0593122516
28227.0382839651,28145.1459660238
29455.6783802376,27166.1724915737
28311.626077022,27215.6355585775
26260.0657755003,26959.4701502532
26828.7143966824,28183.0560346811
28446.635177874,26970.7937631381
28281.2173731752,27402.9607132678
27025.4394383866,26551.2016904136
27845.3478174914,27478.0552643451
25916.987729656,27127.4881312135
26213.4082253919,27807.5612080723
26098.0896523432,28900.0541524728
26996.6552229882,27828.725352011
25557.6240955501,29134.1165509038
27503.7758124336,28213.2865924287
26360.9028021801,29675.8609841472
29531.965638725,29201.8268479948
25597.2544168249,26742.8349581119
27304.1770719079,27192.9690006629
29152.1984816035,26127.2073358655
29474.0672677617,26927.0087555639
29221.5693815364,28401.661525892
28046.7708366233,28849.8083528275
29524.3549395258,27125.3331572748
27336.8788179636,28569.3222449883
27697.1369275005,29348.1239505352
27351.851138468,27498.7708096271
26991.5926352815,26701.5771403577
26797.4102054636,25791.8597525494
29402.6605359262,26425.9793527749
27280.5836441058,26643.7919199107
27286.5359660827,26068.4525359718
29308.1610108119,29055.9099089846
28232.2125603402,25895.467681859
25900.1184871333,28193.4191851671
25065.7309739758,27805.7271952623
28263.8652965965,28380.5243501554
26803.1797332291,29124.6956451193
26540.3751472007,27574.4685693072
29817.9680435731,27129.7668692524
26239.1402481636,28844.0073732327
27452.8748203316,27466.605532612
26419.0252259035,27111.9740270106
24920.2087407209,28849.8083528275
26907.1916022978,28970.7058436423
29609.9889411617,29533.3389341304
25675.121270642,29433.35676922
25880.5073582641,26701.5771403577
25499.6703299653,27347.9066876031
27435.9354454322,27162.1303701932
29502.327067912,26396.3744727187
26655.7957546127,27586.6985975177
26622.3837007106,26451.90003654
26676.7286325855,27960.2540187467
26921.9789801523,27126.9028034013
26228.3660888546,27797.9622656646
27237.8662739711,27421.7193559344
27114.2309772552,28081.4179917223
27533.6827513017,28334.8319883444
28788.3353761988,29446.559523552
29074.3047337318,27362.8457686356
28069.1125973579,27856.4193943223
27763.004860036,28352.8972816949
26741.3489490296,27619.1228156926
28613.6655516212,28895.0344407366
27313.3886757671,27307.4031862961
24488.5483113161,27073.754126484
27036.0528890182,27744.693694903
26494.3209753111,25791.8597525494
27290.6032012191,29348.1239505352
26611.2753618541,27862.0982397207
27407.1611891966,27994.0376048455
27215.6355585775,28335.7876868402
27187.6105649196,27018.9989529809
29168.1180835173,29676.8958088936
24519.0452879595,26742.8349581119
27360.0392840765,26451.90003654
28378.5208175416,27645.3501864598
27839.110289303,27226.9617212829
29843.2710966376,29664.3835061498
26323.2136786923,27156.7069632953
28233.0329336309,26079.2505275202
27541.108790043,26272.295693978
25823.2564309044,27272.3199333982
27202.0831586239,27542.610293483
27087.0443417116,25572.5560872551
29841.3470740975,27461.2940194821
28643.4480318748,29172.5272549825
27418.6492340812,26994.6235693671
25597.7936970026,29046.437116645
26937.4924223604,29124.6956451193
25508.6670942418,29031.5744960172
27328.0640993252,26724.0360124575
27584.7831831596,29476.4402588335
26783.0495427092,26701.5771403577
27020.2078738483,27567.7569854565
27414.7341942084,27799.5025005853
26429.3601541298,28199.235041622
27290.0384022586,26277.3161734512
26407.2487189549,27767.8624369972
26428.859181573,27071.8091363636
27768.1285669174,27998.0928477746
26924.2642900208,27359.209034524
27501.2197163365,28569.8589403019
26864.1077844065,27441.1964144221
27669.872629983,27295.4805047679
27015.8091294124,27805.7271952623
26533.3448631568,28153.3233511402
26682.3223174799,29299.6673394353
30016.8374747889,27097.1289891377
26592.6630372121,25696.3217183147
26591.7406139866,29664.3835061498
24882.8748859586,29533.3389341304
28026.4413885243,27780.7307410796
26711.5612231897,28183.0560346811
27194.5953399495,28428.1101210065
28735.1854147132,26150.728143138
